@relation GOLDSTANDARD_AROUSAL

@attribute Instance_name string
@attribute frameTime numeric
@attribute GoldStandard numeric


@data
dev_1,3.56,0.13874
dev_1,3.6,0.14374
dev_1,3.64,0.14708
dev_1,3.68,0.14874
dev_1,3.72,0.15041
dev_1,3.76,0.14874
dev_1,3.8,0.14374
dev_1,3.84,0.13708
dev_1,3.88,0.12708
dev_1,3.92,0.12041
dev_1,3.96,0.11041
dev_1,4,0.10541
dev_1,4.04,0.10041
dev_1,4.08,0.095408
dev_1,4.12,0.090408
dev_1,4.16,0.090408
dev_1,4.2,0.087075
dev_1,4.24,0.085408
dev_1,4.28,0.082075
dev_1,4.32,0.078742
dev_1,4.36,0.077075
dev_1,4.4,0.078742
dev_1,4.44,0.077075
dev_1,4.48,0.077075
dev_1,4.52,0.077075
dev_1,4.56,0.077075
dev_1,4.6,0.077075
dev_1,4.64,0.077075
dev_1,4.68,0.075408
dev_1,4.72,0.075408
dev_1,4.76,0.075408
dev_1,4.8,0.075408
dev_1,4.84,0.077075
dev_1,4.88,0.077075
dev_1,4.92,0.077075
dev_1,4.96,0.077075
dev_1,5,0.073742
dev_1,5.04,0.070408
dev_1,5.08,0.068742
dev_1,5.12,0.067075
dev_1,5.16,0.063742
dev_1,5.2,0.057075
dev_1,5.24,0.055408
dev_1,5.28,0.048742
dev_1,5.32,0.042075
dev_1,5.36,0.035408
dev_1,5.4,0.028742
dev_1,5.44,0.020408
dev_1,5.48,0.017075
dev_1,5.52,0.015408
dev_1,5.56,0.013742
dev_1,5.6,0.012075
dev_1,5.64,0.012075
dev_1,5.68,0.012075
dev_1,5.72,0.010408
dev_1,5.76,0.010408
dev_1,5.8,0.0087418
dev_1,5.84,0.0087418
dev_1,5.88,0.0087418
dev_1,5.92,0.0070752
dev_1,5.96,0.0037418
dev_1,6,0.0037418
dev_1,6.04,0.0037418
dev_1,6.08,0.0020752
dev_1,6.12,0.0020752
dev_1,6.16,0.0037418
dev_1,6.2,0.0037418
dev_1,6.24,0.0037418
dev_1,6.28,0.0037418
dev_1,6.32,0.0037418
dev_1,6.36,0.0054085
dev_1,6.4,0.0087418
dev_1,6.44,0.013742
dev_1,6.48,0.027075
dev_1,6.52,0.037075
dev_1,6.56,0.048742
dev_1,6.6,0.063742
dev_1,6.64,0.075408
dev_1,6.68,0.087075
dev_1,6.72,0.098742
dev_1,6.76,0.10708
dev_1,6.8,0.11041
dev_1,6.84,0.11541
dev_1,6.88,0.12041
dev_1,6.92,0.12208
dev_1,6.96,0.12208
dev_1,7,0.12541
dev_1,7.04,0.12541
dev_1,7.08,0.12708
dev_1,7.12,0.12708
dev_1,7.16,0.12874
dev_1,7.2,0.12874
dev_1,7.24,0.13208
dev_1,7.28,0.13541
dev_1,7.32,0.13541
dev_1,7.36,0.13541
dev_1,7.4,0.13874
dev_1,7.44,0.14041
dev_1,7.48,0.14374
dev_1,7.52,0.14541
dev_1,7.56,0.14874
dev_1,7.6,0.15374
dev_1,7.64,0.15541
dev_1,7.68,0.15874
dev_1,7.72,0.16208
dev_1,7.76,0.16874
dev_1,7.8,0.17541
dev_1,7.84,0.18041
dev_1,7.88,0.18208
dev_1,7.92,0.18874
dev_1,7.96,0.19541
dev_1,8,0.20041
dev_1,8.04,0.20374
dev_1,8.08,0.20541
dev_1,8.12,0.21041
dev_1,8.16,0.21208
dev_1,8.2,0.21708
dev_1,8.24,0.21708
dev_1,8.28,0.21874
dev_1,8.32,0.22041
dev_1,8.36,0.22041
dev_1,8.4,0.22041
dev_1,8.44,0.22041
dev_1,8.48,0.22041
dev_1,8.52,0.22208
dev_1,8.56,0.22208
dev_1,8.6,0.22208
dev_1,8.64,0.22208
dev_1,8.68,0.22208
dev_1,8.72,0.22208
dev_1,8.76,0.22208
dev_1,8.8,0.22208
dev_1,8.84,0.22374
dev_1,8.88,0.22374
dev_1,8.92,0.22374
dev_1,8.96,0.22708
dev_1,9,0.22874
dev_1,9.04,0.23041
dev_1,9.08,0.23041
dev_1,9.12,0.23041
dev_1,9.16,0.23041
dev_1,9.2,0.23041
dev_1,9.24,0.23041
dev_1,9.28,0.23041
dev_1,9.32,0.23208
dev_1,9.36,0.23208
dev_1,9.4,0.23208
dev_1,9.44,0.23208
dev_1,9.48,0.23208
dev_1,9.52,0.23208
dev_1,9.56,0.23374
dev_1,9.6,0.23374
dev_1,9.64,0.23374
dev_1,9.68,0.23374
dev_1,9.72,0.23541
dev_1,9.76,0.23541
dev_1,9.8,0.23541
dev_1,9.84,0.23708
dev_1,9.88,0.23708
dev_1,9.92,0.23874
dev_1,9.96,0.23874
dev_1,10,0.240408
dev_1,10.04,0.240408
dev_1,10.08,0.242075
dev_1,10.12,0.243742
dev_1,10.16,0.243742
dev_1,10.2,0.243742
dev_1,10.24,0.243742
dev_1,10.28,0.245408
dev_1,10.32,0.245408
dev_1,10.36,0.245408
dev_1,10.4,0.245408
dev_1,10.44,0.245408
dev_1,10.48,0.245408
dev_1,10.52,0.245408
dev_1,10.56,0.248742
dev_1,10.6,0.248742
dev_1,10.64,0.248742
dev_1,10.68,0.247075
dev_1,10.72,0.247075
dev_1,10.76,0.247075
dev_1,10.8,0.247075
dev_1,10.84,0.247075
dev_1,10.88,0.247075
dev_1,10.92,0.247075
dev_1,10.96,0.247075
dev_1,11,0.247075
dev_1,11.04,0.247075
dev_1,11.08,0.247075
dev_1,11.12,0.247075
dev_1,11.16,0.247075
dev_1,11.2,0.247075
dev_1,11.24,0.247075
dev_1,11.28,0.247075
dev_1,11.32,0.247075
dev_1,11.36,0.247075
dev_1,11.4,0.247075
dev_1,11.44,0.247075
dev_1,11.48,0.247075
dev_1,11.52,0.247075
dev_1,11.56,0.247075
dev_1,11.6,0.247075
dev_1,11.64,0.247075
dev_1,11.68,0.247075
dev_1,11.72,0.247075
dev_1,11.76,0.245408
dev_1,11.8,0.245408
dev_1,11.84,0.243742
dev_1,11.88,0.245408
dev_1,11.92,0.243742
dev_1,11.96,0.243742
dev_1,12,0.242075
dev_1,12.04,0.243742
dev_1,12.08,0.247075
dev_1,12.12,0.245408
dev_1,12.16,0.243742
dev_1,12.2,0.242075
dev_1,12.24,0.238742
dev_1,12.28,0.238742
dev_1,12.32,0.235408
dev_1,12.36,0.235408
dev_1,12.4,0.233742
dev_1,12.44,0.235408
dev_1,12.48,0.235408
dev_1,12.52,0.235408
dev_1,12.56,0.235408
dev_1,12.6,0.233742
dev_1,12.64,0.232075
dev_1,12.68,0.232075
dev_1,12.72,0.230408
dev_1,12.76,0.228742
dev_1,12.8,0.223742
dev_1,12.84,0.222075
dev_1,12.88,0.220408
dev_1,12.92,0.217075
dev_1,12.96,0.213742
dev_1,13,0.210408
dev_1,13.04,0.208742
dev_1,13.08,0.207075
dev_1,13.12,0.205408
dev_1,13.16,0.203742
dev_1,13.2,0.202075
dev_1,13.24,0.200408
dev_1,13.28,0.198742
dev_1,13.32,0.197075
dev_1,13.36,0.195408
dev_1,13.4,0.193742
dev_1,13.44,0.192075
dev_1,13.48,0.192075
dev_1,13.52,0.190408
dev_1,13.56,0.190408
dev_1,13.6,0.190408
dev_1,13.64,0.188742
dev_1,13.68,0.188742
dev_1,13.72,0.187075
dev_1,13.76,0.192075
dev_1,13.8,0.193742
dev_1,13.84,0.193742
dev_1,13.88,0.195408
dev_1,13.92,0.197075
dev_1,13.96,0.197075
dev_1,14,0.197075
dev_1,14.04,0.197075
dev_1,14.08,0.197075
dev_1,14.12,0.198742
dev_1,14.16,0.198742
dev_1,14.2,0.198742
dev_1,14.24,0.198742
dev_1,14.28,0.198742
dev_1,14.32,0.195408
dev_1,14.36,0.193742
dev_1,14.4,0.195408
dev_1,14.44,0.197075
dev_1,14.48,0.197075
dev_1,14.52,0.195408
dev_1,14.56,0.193742
dev_1,14.6,0.195408
dev_1,14.64,0.193742
dev_1,14.68,0.192075
dev_1,14.72,0.195408
dev_1,14.76,0.195408
dev_1,14.8,0.197075
dev_1,14.84,0.198742
dev_1,14.88,0.197075
dev_1,14.92,0.197075
dev_1,14.96,0.197075
dev_1,15,0.197075
dev_1,15.04,0.197075
dev_1,15.08,0.197075
dev_1,15.12,0.197075
dev_1,15.16,0.198742
dev_1,15.2,0.198742
dev_1,15.24,0.198742
dev_1,15.28,0.198742
dev_1,15.32,0.198742
dev_1,15.36,0.197075
dev_1,15.4,0.198742
dev_1,15.44,0.198742
dev_1,15.48,0.198742
dev_1,15.52,0.198742
dev_1,15.56,0.197075
dev_1,15.6,0.197075
dev_1,15.64,0.197075
dev_1,15.68,0.197075
dev_1,15.72,0.197075
dev_1,15.76,0.193742
dev_1,15.8,0.190408
dev_1,15.84,0.185408
dev_1,15.88,0.177075
dev_1,15.92,0.170408
dev_1,15.96,0.165408
dev_1,16,0.157075
dev_1,16.04,0.153742
dev_1,16.08,0.150408
dev_1,16.12,0.145408
dev_1,16.16,0.143742
dev_1,16.2,0.137075
dev_1,16.24,0.132075
dev_1,16.28,0.128742
dev_1,16.32,0.122075
dev_1,16.36,0.113742
dev_1,16.4,0.105408
dev_1,16.44,0.103742
dev_1,16.48,0.100408
dev_1,16.52,0.0954085
dev_1,16.56,0.0937418
dev_1,16.6,0.0904085
dev_1,16.64,0.0887418
dev_1,16.68,0.0870752
dev_1,16.72,0.0854085
dev_1,16.76,0.0837418
dev_1,16.8,0.0837418
dev_1,16.84,0.0837418
dev_1,16.88,0.0837418
dev_1,16.92,0.0820752
dev_1,16.96,0.0704085
dev_1,17,0.0654085
dev_1,17.04,0.0654085
dev_1,17.08,0.0637418
dev_1,17.12,0.0637418
dev_1,17.16,0.0620752
dev_1,17.2,0.0637418
dev_1,17.24,0.0620752
dev_1,17.28,0.0620752
dev_1,17.32,0.0620752
dev_1,17.36,0.0604085
dev_1,17.4,0.0604085
dev_1,17.44,0.0604085
dev_1,17.48,0.0604085
dev_1,17.52,0.0587418
dev_1,17.56,0.0554085
dev_1,17.6,0.0537418
dev_1,17.64,0.0520752
dev_1,17.68,0.0520752
dev_1,17.72,0.0504085
dev_1,17.76,0.0487418
dev_1,17.8,0.0470752
dev_1,17.84,0.0470752
dev_1,17.88,0.0437418
dev_1,17.92,0.0420752
dev_1,17.96,0.0404085
dev_1,18,0.0404085
dev_1,18.04,0.0404085
dev_1,18.08,0.0370752
dev_1,18.12,0.0370752
dev_1,18.16,0.0354085
dev_1,18.2,0.0354085
dev_1,18.24,0.0337418
dev_1,18.28,0.0337418
dev_1,18.32,0.0320752
dev_1,18.36,0.0304085
dev_1,18.4,0.0320752
dev_1,18.44,0.0304085
dev_1,18.48,0.0304085
dev_1,18.52,0.0287418
dev_1,18.56,0.0270752
dev_1,18.6,0.0254085
dev_1,18.64,0.0254085
dev_1,18.68,0.0237418
dev_1,18.72,0.0237418
dev_1,18.76,0.0220752
dev_1,18.8,0.0220752
dev_1,18.84,0.0220752
dev_1,18.88,0.0187418
dev_1,18.92,0.0187418
dev_1,18.96,0.0187418
dev_1,19,0.0170752
dev_1,19.04,0.0170752
dev_1,19.08,0.0170752
dev_1,19.12,0.0154085
dev_1,19.16,0.0120752
dev_1,19.2,0.00707516
dev_1,19.24,0.00207516
dev_1,19.28,-0.00125817
dev_1,19.32,-0.00625817
dev_1,19.36,-0.0112582
dev_1,19.4,-0.0162582
dev_1,19.44,-0.0195915
dev_1,19.48,-0.0262582
dev_1,19.52,-0.0295915
dev_1,19.56,-0.0329248
dev_1,19.6,-0.0362582
dev_1,19.64,-0.0379248
dev_1,19.68,-0.0412582
dev_1,19.72,-0.0445915
dev_1,19.76,-0.0462582
dev_1,19.8,-0.0512582
dev_1,19.84,-0.0579248
dev_1,19.88,-0.0629248
dev_1,19.92,-0.0712582
dev_1,19.96,-0.0812582
dev_1,20,-0.0879248
dev_1,20.04,-0.0995915
dev_1,20.08,-0.102925
dev_1,20.12,-0.106258
dev_1,20.16,-0.107925
dev_1,20.2,-0.109592
dev_1,20.24,-0.111258
dev_1,20.28,-0.112925
dev_1,20.32,-0.112925
dev_1,20.36,-0.114592
dev_1,20.4,-0.114592
dev_1,20.44,-0.114592
dev_1,20.48,-0.116258
dev_1,20.52,-0.116258
dev_1,20.56,-0.116258
dev_1,20.6,-0.116258
dev_1,20.64,-0.117925
dev_1,20.68,-0.117925
dev_1,20.72,-0.117925
dev_1,20.76,-0.117925
dev_1,20.8,-0.117925
dev_1,20.84,-0.119592
dev_1,20.88,-0.121258
dev_1,20.92,-0.122925
dev_1,20.96,-0.122925
dev_1,21,-0.122925
dev_1,21.04,-0.122925
dev_1,21.08,-0.122925
dev_1,21.12,-0.122925
dev_1,21.16,-0.122925
dev_1,21.2,-0.122925
dev_1,21.24,-0.122925
dev_1,21.28,-0.122925
dev_1,21.32,-0.122925
dev_1,21.36,-0.122925
dev_1,21.4,-0.124592
dev_1,21.44,-0.124592
dev_1,21.48,-0.124592
dev_1,21.52,-0.124592
dev_1,21.56,-0.127925
dev_1,21.6,-0.129592
dev_1,21.64,-0.131258
dev_1,21.68,-0.131258
dev_1,21.72,-0.132925
dev_1,21.76,-0.132925
dev_1,21.8,-0.136258
dev_1,21.84,-0.136258
dev_1,21.88,-0.136258
dev_1,21.92,-0.136258
dev_1,21.96,-0.136258
dev_1,22,-0.136258
dev_1,22.04,-0.137925
dev_1,22.08,-0.136258
dev_1,22.12,-0.136258
dev_1,22.16,-0.136258
dev_1,22.2,-0.134592
dev_1,22.24,-0.134592
dev_1,22.28,-0.134592
dev_1,22.32,-0.134592
dev_1,22.36,-0.137925
dev_1,22.4,-0.139592
dev_1,22.44,-0.144592
dev_1,22.48,-0.146258
dev_1,22.52,-0.147925
dev_1,22.56,-0.149592
dev_1,22.6,-0.149592
dev_1,22.64,-0.149592
dev_1,22.68,-0.152925
dev_1,22.72,-0.154592
dev_1,22.76,-0.154592
dev_1,22.8,-0.156258
dev_1,22.84,-0.157925
dev_1,22.88,-0.159592
dev_1,22.92,-0.159592
dev_1,22.96,-0.159592
dev_1,23,-0.159592
dev_1,23.04,-0.159592
dev_1,23.08,-0.159592
dev_1,23.12,-0.154592
dev_1,23.16,-0.152925
dev_1,23.2,-0.152925
dev_1,23.24,-0.151258
dev_1,23.28,-0.151258
dev_1,23.32,-0.149592
dev_1,23.36,-0.149592
dev_1,23.4,-0.149592
dev_1,23.44,-0.147925
dev_1,23.48,-0.147925
dev_1,23.52,-0.146258
dev_1,23.56,-0.146258
dev_1,23.6,-0.147925
dev_1,23.64,-0.147925
dev_1,23.68,-0.146258
dev_1,23.72,-0.146258
dev_1,23.76,-0.146258
dev_1,23.8,-0.144592
dev_1,23.84,-0.144592
dev_1,23.88,-0.144592
dev_1,23.92,-0.141258
dev_1,23.96,-0.141258
dev_1,24,-0.139592
dev_1,24.04,-0.139592
dev_1,24.08,-0.139592
dev_1,24.12,-0.137925
dev_1,24.16,-0.137925
dev_1,24.2,-0.137925
dev_1,24.24,-0.137925
dev_1,24.28,-0.134592
dev_1,24.32,-0.134592
dev_1,24.36,-0.132925
dev_1,24.4,-0.132925
dev_1,24.44,-0.131258
dev_1,24.48,-0.127925
dev_1,24.52,-0.127925
dev_1,24.56,-0.127925
dev_1,24.6,-0.127925
dev_1,24.64,-0.127925
dev_1,24.68,-0.127925
dev_1,24.72,-0.127925
dev_1,24.76,-0.127925
dev_1,24.8,-0.127925
dev_1,24.84,-0.127925
dev_1,24.88,-0.127925
dev_1,24.92,-0.129592
dev_1,24.96,-0.129592
dev_1,25,-0.127925
dev_1,25.04,-0.127925
dev_1,25.08,-0.126258
dev_1,25.12,-0.126258
dev_1,25.16,-0.126258
dev_1,25.2,-0.126258
dev_1,25.24,-0.126258
dev_1,25.28,-0.126258
dev_1,25.32,-0.126258
dev_1,25.36,-0.127925
dev_1,25.4,-0.129592
dev_1,25.44,-0.131258
dev_1,25.48,-0.131258
dev_1,25.52,-0.132925
dev_1,25.56,-0.134592
dev_1,25.6,-0.134592
dev_1,25.64,-0.134592
dev_1,25.68,-0.134592
dev_1,25.72,-0.132925
dev_1,25.76,-0.134592
dev_1,25.8,-0.134592
dev_1,25.84,-0.134592
dev_1,25.88,-0.134592
dev_1,25.92,-0.134592
dev_1,25.96,-0.134592
dev_1,26,-0.134592
dev_1,26.04,-0.134592
dev_1,26.08,-0.132925
dev_1,26.12,-0.132925
dev_1,26.16,-0.132925
dev_1,26.2,-0.132925
dev_1,26.24,-0.132925
dev_1,26.28,-0.132925
dev_1,26.32,-0.132925
dev_1,26.36,-0.132925
dev_1,26.4,-0.131258
dev_1,26.44,-0.132925
dev_1,26.48,-0.132925
dev_1,26.52,-0.132925
dev_1,26.56,-0.132925
dev_1,26.6,-0.132925
dev_1,26.64,-0.132925
dev_1,26.68,-0.132925
dev_1,26.72,-0.132925
dev_1,26.76,-0.132925
dev_1,26.8,-0.132925
dev_1,26.84,-0.132925
dev_1,26.88,-0.134592
dev_1,26.92,-0.132925
dev_1,26.96,-0.132925
dev_1,27,-0.132925
dev_1,27.04,-0.132925
dev_1,27.08,-0.131258
dev_1,27.12,-0.131258
dev_1,27.16,-0.131258
dev_1,27.2,-0.131258
dev_1,27.24,-0.131258
dev_1,27.28,-0.131258
dev_1,27.32,-0.131258
dev_1,27.36,-0.131258
dev_1,27.4,-0.131258
dev_1,27.44,-0.131258
dev_1,27.48,-0.131258
dev_1,27.52,-0.131258
dev_1,27.56,-0.132925
dev_1,27.6,-0.132925
dev_1,27.64,-0.132925
dev_1,27.68,-0.132925
dev_1,27.72,-0.132925
dev_1,27.76,-0.132925
dev_1,27.8,-0.132925
dev_1,27.84,-0.132925
dev_1,27.88,-0.132925
dev_1,27.92,-0.132925
dev_1,27.96,-0.132925
dev_1,28,-0.132925
dev_1,28.04,-0.132925
dev_1,28.08,-0.132925
dev_1,28.12,-0.132925
dev_1,28.16,-0.132925
dev_1,28.2,-0.132925
dev_1,28.24,-0.132925
dev_1,28.28,-0.132925
dev_1,28.32,-0.134592
dev_1,28.36,-0.134592
dev_1,28.4,-0.136258
dev_1,28.44,-0.139592
dev_1,28.48,-0.146258
dev_1,28.52,-0.152925
dev_1,28.56,-0.159592
dev_1,28.6,-0.161258
dev_1,28.64,-0.162925
dev_1,28.68,-0.162925
dev_1,28.72,-0.164592
dev_1,28.76,-0.164592
dev_1,28.8,-0.164592
dev_1,28.84,-0.166258
dev_1,28.88,-0.166258
dev_1,28.92,-0.169592
dev_1,28.96,-0.171258
dev_1,29,-0.172925
dev_1,29.04,-0.174592
dev_1,29.08,-0.177925
dev_1,29.12,-0.179592
dev_1,29.16,-0.181258
dev_1,29.2,-0.182925
dev_1,29.24,-0.186258
dev_1,29.28,-0.191258
dev_1,29.32,-0.196258
dev_1,29.36,-0.199592
dev_1,29.4,-0.201258
dev_1,29.44,-0.206258
dev_1,29.48,-0.217925
dev_1,29.52,-0.226258
dev_1,29.56,-0.226258
dev_1,29.6,-0.229592
dev_1,29.64,-0.231258
dev_1,29.68,-0.231258
dev_1,29.72,-0.232925
dev_1,29.76,-0.232925
dev_1,29.8,-0.236258
dev_1,29.84,-0.241258
dev_1,29.88,-0.244592
dev_1,29.92,-0.246258
dev_1,29.96,-0.246258
dev_1,30,-0.247925
dev_1,30.04,-0.247925
dev_1,30.08,-0.249592
dev_1,30.12,-0.251258
dev_1,30.16,-0.252925
dev_1,30.2,-0.252925
dev_1,30.24,-0.252925
dev_1,30.28,-0.252925
dev_1,30.32,-0.252925
dev_1,30.36,-0.252925
dev_1,30.4,-0.252925
dev_1,30.44,-0.252925
dev_1,30.48,-0.252925
dev_1,30.52,-0.252925
dev_1,30.56,-0.252925
dev_1,30.6,-0.252925
dev_1,30.64,-0.252925
dev_1,30.68,-0.252925
dev_1,30.72,-0.252925
dev_1,30.76,-0.252925
dev_1,30.8,-0.252925
dev_1,30.84,-0.252925
dev_1,30.88,-0.252925
dev_1,30.92,-0.252925
dev_1,30.96,-0.252925
dev_1,31,-0.252925
dev_1,31.04,-0.251258
dev_1,31.08,-0.251258
dev_1,31.12,-0.251258
dev_1,31.16,-0.251258
dev_1,31.2,-0.251258
dev_1,31.24,-0.251258
dev_1,31.28,-0.251258
dev_1,31.32,-0.251258
dev_1,31.36,-0.251258
dev_1,31.4,-0.251258
dev_1,31.44,-0.251258
dev_1,31.48,-0.251258
dev_1,31.52,-0.251258
dev_1,31.56,-0.251258
dev_1,31.6,-0.251258
dev_1,31.64,-0.251258
dev_1,31.68,-0.251258
dev_1,31.72,-0.251258
dev_1,31.76,-0.251258
dev_1,31.8,-0.251258
dev_1,31.84,-0.251258
dev_1,31.88,-0.251258
dev_1,31.92,-0.251258
dev_1,31.96,-0.251258
dev_1,32,-0.251258
dev_1,32.04,-0.251258
dev_1,32.08,-0.251258
dev_1,32.12,-0.251258
dev_1,32.16,-0.251258
dev_1,32.2,-0.251258
dev_1,32.24,-0.251258
dev_1,32.28,-0.251258
dev_1,32.32,-0.251258
dev_1,32.36,-0.251258
dev_1,32.4,-0.251258
dev_1,32.44,-0.251258
dev_1,32.48,-0.252925
dev_1,32.52,-0.252925
dev_1,32.56,-0.252925
dev_1,32.6,-0.252925
dev_1,32.64,-0.252925
dev_1,32.68,-0.252925
dev_1,32.72,-0.252925
dev_1,32.76,-0.252925
dev_1,32.8,-0.252925
dev_1,32.84,-0.252925
dev_1,32.88,-0.252925
dev_1,32.92,-0.252925
dev_1,32.96,-0.252925
dev_1,33,-0.252925
dev_1,33.04,-0.252925
dev_1,33.08,-0.252925
dev_1,33.12,-0.252925
dev_1,33.16,-0.254592
dev_1,33.2,-0.254592
dev_1,33.24,-0.254592
dev_1,33.28,-0.254592
dev_1,33.32,-0.254592
dev_1,33.36,-0.254592
dev_1,33.4,-0.254592
dev_1,33.44,-0.254592
dev_1,33.48,-0.254592
dev_1,33.52,-0.254592
dev_1,33.56,-0.252925
dev_1,33.6,-0.252925
dev_1,33.64,-0.252925
dev_1,33.68,-0.252925
dev_1,33.72,-0.252925
dev_1,33.76,-0.251258
dev_1,33.8,-0.251258
dev_1,33.84,-0.251258
dev_1,33.88,-0.251258
dev_1,33.92,-0.251258
dev_1,33.96,-0.247925
dev_1,34,-0.247925
dev_1,34.04,-0.247925
dev_1,34.08,-0.244592
dev_1,34.12,-0.242925
dev_1,34.16,-0.242925
dev_1,34.2,-0.241258
dev_1,34.24,-0.239592
dev_1,34.28,-0.239592
dev_1,34.32,-0.239592
dev_1,34.36,-0.237925
dev_1,34.4,-0.236258
dev_1,34.44,-0.236258
dev_1,34.48,-0.236258
dev_1,34.52,-0.236258
dev_1,34.56,-0.236258
dev_1,34.6,-0.236258
dev_1,34.64,-0.236258
dev_1,34.68,-0.236258
dev_1,34.72,-0.236258
dev_1,34.76,-0.236258
dev_1,34.8,-0.234592
dev_1,34.84,-0.234592
dev_1,34.88,-0.234592
dev_1,34.92,-0.234592
dev_1,34.96,-0.232925
dev_1,35,-0.232925
dev_1,35.04,-0.232925
dev_1,35.08,-0.232925
dev_1,35.12,-0.232925
dev_1,35.16,-0.232925
dev_1,35.2,-0.232925
dev_1,35.24,-0.232925
dev_1,35.28,-0.232925
dev_1,35.32,-0.232925
dev_1,35.36,-0.232925
dev_1,35.4,-0.232925
dev_1,35.44,-0.232925
dev_1,35.48,-0.232925
dev_1,35.52,-0.232925
dev_1,35.56,-0.232925
dev_1,35.6,-0.232925
dev_1,35.64,-0.232925
dev_1,35.68,-0.232925
dev_1,35.72,-0.232925
dev_1,35.76,-0.232925
dev_1,35.8,-0.232925
dev_1,35.84,-0.232925
dev_1,35.88,-0.232925
dev_1,35.92,-0.232925
dev_1,35.96,-0.232925
dev_1,36,-0.232925
dev_1,36.04,-0.232925
dev_1,36.08,-0.232925
dev_1,36.12,-0.232925
dev_1,36.16,-0.232925
dev_1,36.2,-0.232925
dev_1,36.24,-0.232925
dev_1,36.28,-0.232925
dev_1,36.32,-0.232925
dev_1,36.36,-0.232925
dev_1,36.4,-0.232925
dev_1,36.44,-0.232925
dev_1,36.48,-0.232925
dev_1,36.52,-0.232925
dev_1,36.56,-0.232925
dev_1,36.6,-0.232925
dev_1,36.64,-0.232925
dev_1,36.68,-0.232925
dev_1,36.72,-0.232925
dev_1,36.76,-0.232925
dev_1,36.8,-0.232925
dev_1,36.84,-0.232925
dev_1,36.88,-0.232925
dev_1,36.92,-0.232925
dev_1,36.96,-0.232925
dev_1,37,-0.232925
dev_1,37.04,-0.231258
dev_1,37.08,-0.231258
dev_1,37.12,-0.231258
dev_1,37.16,-0.231258
dev_1,37.2,-0.231258
dev_1,37.24,-0.232925
dev_1,37.28,-0.232925
dev_1,37.32,-0.232925
dev_1,37.36,-0.232925
dev_1,37.4,-0.232925
dev_1,37.44,-0.232925
dev_1,37.48,-0.232925
dev_1,37.52,-0.232925
dev_1,37.56,-0.232925
dev_1,37.6,-0.232925
dev_1,37.64,-0.232925
dev_1,37.68,-0.232925
dev_1,37.72,-0.232925
dev_1,37.76,-0.232925
dev_1,37.8,-0.232925
dev_1,37.84,-0.232925
dev_1,37.88,-0.232925
dev_1,37.92,-0.232925
dev_1,37.96,-0.232925
dev_1,38,-0.239592
dev_1,38.04,-0.242925
